"Name, Location",Score (out of 5),Instagram Link
"The Station, Sutton Coldfield",1.5,https://www.instagram.com/p/DMScCSatxb9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Fentiman Arms, London",3.0,https://www.instagram.com/p/DLxVUvmtzHI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
he Faltering Fullback,4.0,https://www.instagram.com/p/DKrdvQ5ta8D/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Wig & Walnut, Northampton",3.5,https://www.instagram.com/p/DKZdUMrNPdd/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Celtic Druid, Bologna",4.5,https://www.instagram.com/p/DKK6gVMIcb5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Freddie’s, Wexford Ireland",4.0,https://www.instagram.com/p/DJ1ZDWzNOHw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Cabbage Patch, Twickenham",1.0,https://www.instagram.com/p/DJjNRN_NXpN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Healy Macs, Kuala Lumpur Malaysia",5.0,https://www.instagram.com/reel/DIx588ip7B1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Sun Pub Clapham, London",4.0,https://www.instagram.com/p/DIZKNYrNLYB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Devonshire, Soho, London",5.0,https://www.instagram.com/p/DITrJ0tovYi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"he Roundhouse, Wandsworth, London",2.0,https://www.instagram.com/p/DITrJ0tovYi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
" The Four Oaks, Sutton Coldfield",3.0,https://www.instagram.com/p/DH5yBjANC8f/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Waxy O Connors, London",4.5,https://www.instagram.com/p/DG_Xmnjt8_H/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Edinboro Castle, Camden",4.0,https://www.instagram.com/p/DG8QNJTI8ts/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Galway Irish Pub, Paris France",2.0,https://www.instagram.com/p/DG3A7JONQP7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Shenanigans, Southampton",4.5,https://www.instagram.com/reel/DGaTQe0NGH9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Westwood, White City LDN",2.5,https://www.instagram.com/p/DF2cTu7tcsj/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Toners, Dublin",4.5,https://www.instagram.com/p/DFlDBHwNe_D/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Bitter & Twisted, Chipping Norton",2.0,https://www.instagram.com/p/DEsoMrfNrks/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Bottle of Sack, Sutton Coldfield, UK",4.0,https://www.instagram.com/p/DEgKmOGNaZ_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Cheeky Pup, Algarve, Portugal",2.0,https://www.instagram.com/p/DEgKmOGNaZ_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Playwright, Kilkenny",3.5,https://www.instagram.com/p/DDjoSsTNgcY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Whitford, Wexford Ireland",4.9,https://www.instagram.com/p/DDMUJUQN0ff/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Principality Stadium, Cardiff",3.0,https://www.instagram.com/reel/DCzbPmatfir/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
" Packhorse and Talbot, Chiswick",4.0,https://www.instagram.com/p/DCwyKH8N27c/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Culver Haven Inn, Isle of Wight",2.0,https://www.instagram.com/p/DCNNZEmtNmy/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
" The Princes Head, Richmond",2.5,https://www.instagram.com/reel/DB8iJp3NCi5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
Slattery’s Rathmines,4.5,https://www.instagram.com/p/DB3UFPDt0jp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
" Dukes Head Putney, London",3.0,https://www.instagram.com/reel/DBo6Xa0tyWn/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Ballykealey House, Carlow Ireland",4.0,https://www.instagram.com/reel/DAirRfftCJE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Queens Arms, Kensington London",3.0,https://www.instagram.com/p/DAF72iONjql/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Magic Garden, Battersea London",3.0,https://www.instagram.com/p/DABFuQqt5UE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Mitre, Greenwich London",4.5,https://www.instagram.com/p/C_tiPazNTR2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Ma’Nolans, Nice, France",1.5,https://www.instagram.com/p/C_Xef7_tEfo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
" Grogans, Dublin",4.5,https://www.instagram.com/reel/C_SUyrFN0mE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Latchmere, Battersea London",4.0,https://www.instagram.com/reel/C_GRm44tk18/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Sailors Arms, Newquay Cornwall",1.0,https://www.instagram.com/reel/C-x0fOeN88O/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Gaffe, Dubrovnik Croatia",2.5,https://www.instagram.com/p/C-xye5MtdH5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Malones Leith, Edinburgh UK",3.0,https://www.instagram.com/reel/C-PvoLeNNb4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Prince Albert, Battersea UK",4.0,https://www.instagram.com/reel/C9rpTK0Nvd-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Hope Fitzrovia, London UK",5.0,https://www.instagram.com/reel/C7e88DuNgjM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Dove, Hammersmith",4.0,https://www.instagram.com/reel/C6ovjrCq8AR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Devonshire, London UK",4.9,https://www.instagram.com/reel/C6k_0ePqcXB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"Shenanigans, Southampton UK",4.5,https://www.instagram.com/reel/C6UQS7Eq_gx/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
" The Coach & Horses, Barnes",2.5,https://www.instagram.com/reel/C5eDg4IqR_m/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Bell & Crown Chiswick, SW London",4.0,https://www.instagram.com/reel/C46BsF4qtLH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"The Vines, Liverpool",3.5,https://www.instagram.com/p/C4tpCMyovXE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
